Id;R;Nome;Squadra;Pv;Mv;Fm;Gf;Gs;Rp;Rc;R+;R-;Ass;Amm;Esp;Au
530;C;Pellegrini Lo.;Roma;12;6,12;6,58;2;0;0;1;1;0;0;1;0;0
6717;C;Konè I.;Sassuolo;15;6,2;6,7;3;0;0;0;0;0;0;1;1;0
6908;C;Atta;Udinese;13;6,46;6,77;1;0;0;0;0;0;2;2;0;0
449;C;Vazquez;Cremonese;11;6,23;6,68;1;0;0;0;0;0;2;1;0;0
6015;C;Berisha M.;Lecce;12;6,17;6,92;2;0;0;0;0;0;3;0;0;0
5119;C;Samardzic;Atalanta;12;5,96;6,33;1;0;0;0;0;0;2;1;0;0
4364;C;Gaetano;Cagliari;15;6,07;6,5;2;0;0;0;0;0;2;3;0;0
6151;C;Perrone;Como;14;6,25;6,46;1;0;0;0;0;0;3;6;0;0
4486;C;Strefezza;Como;0;0;0;0;0;0;0;0;0;0;0;0;0
7133;C;Vandeputte;Cremonese;16;6,22;6,44;0;0;0;0;0;0;4;1;0;0
5800;C;Gudmundsson A.;Fiorentina;15;5,83;6,4;3;0;0;2;2;0;1;3;0;0
152;C;Zielinski;Inter;9;6,28;6,72;1;0;0;0;0;0;1;0;0;0
5674;C;Basic;Lazio;11;6,23;6,59;1;0;0;0;0;0;2;0;1;0
6398;C;Isaksen;Lazio;9;6,22;6,89;2;0;0;0;0;0;0;0;0;0
5453;C;Ricci S.;Milan;11;6,14;6,5;1;0;0;0;0;0;1;1;0;0
5735;C;Volpato;Sassuolo;12;6,25;6,75;1;0;0;0;0;0;4;2;0;0
6640;C;Felici;Cagliari;11;6,05;6,55;2;0;0;0;0;0;1;3;0;0
4404;C;Thorsby;Genoa;9;6,22;6,89;2;0;0;0;0;0;1;2;0;0
5422;C;Zalewski;Atalanta;11;6,14;6,55;1;0;0;0;0;0;2;1;0;0
7070;C;Sucic P.;Inter;12;6,12;6,42;1;0;0;0;0;0;2;3;0;0
5562;C;Thuram K.;Juventus;16;6,03;6,22;1;0;0;0;0;0;0;0;0;0
4186;C;Guendouzi;Lazio;14;6,21;6,39;2;0;0;0;0;0;0;5;1;0
5504;C;Coulibaly L.;Lecce;14;6,07;6,39;2;0;0;0;0;0;0;3;0;0
4199;C;Loftus-Cheek;Milan;12;6,21;6,5;1;0;0;0;0;0;1;1;0;0
6458;C;Serdar;Verona;11;6,18;6,64;2;0;0;0;0;0;0;2;0;0
2077;C;Pasalic;Atalanta;15;5,9;6,2;1;0;0;0;0;0;2;1;0;0
5298;C;Pobega;Bologna;12;5,96;6,42;2;0;0;0;0;0;0;1;0;0
827;C;Locatelli;Juventus;16;6,31;6,19;0;0;0;0;0;0;0;4;0;0
333;C;Cataldi;Lazio;15;6,1;6,33;1;0;0;1;1;0;2;3;0;0
779;C;Cristante;Roma;17;6,12;6,18;1;0;0;0;0;0;0;4;0;0
2839;C;Sottil;Lecce;11;6,05;6,36;1;0;0;0;0;0;1;1;0;0
4427;C;Malinovskyi;Genoa;15;5,97;6,27;2;0;0;1;1;0;1;5;0;0
4711;C;Kostic;Juventus;7;6,14;7,14;2;0;0;0;0;0;1;0;0;0
4686;C;Fofana Y.;Milan;14;5,93;6,11;1;0;0;0;0;0;1;3;0;0
5393;C;Man;Parma;0;0;0;0;0;0;0;0;0;0;0;0;0
6815;C;Fadera;Sassuolo;15;5,9;6,07;1;0;0;0;0;0;1;3;0;0
2528;C;Matic;Sassuolo;16;6,12;6,25;1;0;0;0;0;0;0;2;0;0
6252;C;Folorunsho;Cagliari;16;6,03;6,12;1;0;0;0;0;0;0;3;0;0
5036;C;Caqueret;Como;10;6,1;6,15;0;0;0;0;0;0;1;1;0;0
5559;C;Da Cunha;Como;14;6,07;6,04;0;0;0;0;0;0;0;1;0;0
6020;C;Ellertsson;Genoa;15;5,87;6,1;1;0;0;0;0;0;1;1;0;0
536;C;Politano;Napoli;15;6,03;6,07;0;0;0;0;0;0;1;1;0;0
7146;C;Tourè I.;Pisa;15;6;6,1;1;0;0;0;0;0;0;1;1;0
5844;C;Thorstvedt;Sassuolo;13;6,04;6,15;1;0;0;0;0;0;1;5;0;0
5761;C;Zhegrova;Juventus;4;6,25;6,25;0;0;0;0;0;0;0;0;0;0
5792;C;Ederson D.S.;Atalanta;13;5,96;5,92;0;0;0;0;0;0;0;1;0;0
6054;C;Moro N.;Bologna;11;5,95;6,18;1;0;0;0;0;0;0;1;0;0
4973;C;McKennie;Juventus;14;6;6,04;0;0;0;0;0;0;2;3;0;0
6593;C;Akinsanmiro;Pisa;12;6,08;6,12;0;0;0;0;0;0;1;1;0;0
2334;C;Leris;Pisa;14;6;6,14;0;0;0;0;0;0;2;0;0;0
6680;C;Karlstrom;Udinese;17;5,94;6;1;0;0;0;0;0;0;4;0;0
6481;C;Payero;Cremonese;13;6,08;6,12;1;0;0;0;0;0;0;5;0;0
6684;C;Ekkelenkamp;Udinese;13;5,88;6,12;1;0;0;0;0;0;0;0;0;0
7028;C;Bernede;Verona;16;5,91;6,12;1;0;0;0;0;0;1;1;0;0
7198;C;Piotrowski;Udinese;16;5,97;6,09;1;0;0;0;0;0;0;2;0;0
6549;C;Pierotti;Lecce;15;5,83;5,83;0;0;0;0;0;0;0;0;0;0
5131;C;Gilmour;Napoli;6;6;6,42;1;0;0;0;0;0;0;1;0;0
2670;C;Bailey;Roma;5;5,7;5,7;0;0;0;0;0;0;0;0;0;0
6844;C;Rowe;Bologna;8;6,19;6,12;0;0;0;0;0;0;0;1;0;0
22;C;De Roon;Atalanta;14;6;5,82;0;0;0;0;0;0;0;3;1;0
